graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
all,0.00000005,0.00000005,0.0000001,10862.22374,2438.227583,3112.524359,553.7607035,473.4413933,0.000001717185993,0.0000000009646607047,0.00000000185,0.00000000215,0.0000000719
all,0.0000005,0.0000005,0.000001,11113.48629,4925.798137,5967.959901,1285.033422,769.1653627,0.000001717185993,0.000000009483580491,0.000000009527684981,0.00000000505,0.0000001051
all,0.000005,0.000005,0.00001,11077.10596,6912.772972,7951.571018,2523.928654,1388.298033,0.00000171756986,0.00000001966334053,0.00000001968252,0.0000000197999394,0.0000001354510773
all,0.00005,0.00005,0.0001,11032.24616,8191.963471,9333.476578,5072.91654,2690.277524,0.000001722437763,0.00000006204455931,0.00000006203560831,0.0000000621450714,0.0000002984449261
all,0.0005,0.0005,0.001,11187.30125,9104.971057,11971.11885,8850.860939,4626.398687,0.000001777324142,0.0000002669861909,0.00000026690127,0.0000002668684013,0.0000008337221743
all,0.005,0.005,0.01,12117.29819,10675.23788,20779.73857,13928.72693,7498.585433,0.000002092003746,0.0000009874258622,0.0000009878307101,0.000000984318934,0.000001577091531
all,0.05,0.05,0.1,21164.61157,19499.84794,62580.72456,26276.37476,14937.03223,0.000001619892874,0.000001475914915,0.000001470938812,0.000001475288333,0.000002337281952
