graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
all,0.00000002,0.00000008,0.0000001,11265.11075,2708.099281,5522.570569,572.8917207,524.4727829,0.000001717185993,0.000000007567506276,0.00000000387,0.00000000419,0.0000000802
all,0.0000002,0.0000008,0.000001,11143.59382,4368.720642,5610.42682,1267.673768,848.9802707,0.000001717185993,0.00000001510177948,0.00000001509130164,0.00000000757,0.0000001171
all,0.000002,0.000008,0.00001,11016.91248,6935.910785,8105.823813,2679.098509,1503.082904,0.000001717731925,0.00000001651130037,0.00000001651626611,0.00000001669403871,0.0000001436966411
all,0.00002,0.00008,0.0001,10887.24421,7684.758871,8937.725295,4972.377902,2868.013051,0.000001740901494,0.00000007319500975,0.00000007296558526,0.00000007261094236,0.0000003396484362
all,0.0002,0.0008,0.001,11029.0351,8796.450103,11433.90198,9171.867146,4929.995043,0.000001779677032,0.0000002366036143,0.0000002365481015,0.0000002366021037,0.0000007954837576
all,0.002,0.008,0.01,12395.28765,10784.51368,20550.05444,14365.50641,7753.600184,0.000002043055735,0.0000008372759118,0.0000008367793593,0.000000838727553,0.00000154412799
all,0.02,0.08,0.1,25654.36706,23251.78734,68118.42873,31761.75105,18528.89213,0.000001465649888,0.0000008970773031,0.0000009044391719,0.0000009038431359,0.000002717340961
