graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
indochina-2004,0.00000005,0.00000005,0.0000001,5740.137672,1548.27542,2400.281946,294.4984046,484.9448483,0.0000000676,0.000000002631677379,0.000000002806541043,0.00000000206,0.00000007181
indochina-2004,0.0000005,0.0000005,0.000001,5111.193688,2393.140235,2750.816761,1025.466476,813.2496758,0.0000000676,0.000000003492840876,0.000000003457613321,0.00000000496,0.00000010501
indochina-2004,0.000005,0.000005,0.00001,5080.575167,3208.433293,3449.803198,3579.254051,1775.131527,0.00000006763331691,0.000000005550425095,0.000000005613054155,0.00000001141,0.00000013401
indochina-2004,0.00005,0.00005,0.0001,4971.490204,3692.177448,4711.32724,5001.127915,2381.905833,0.00000006816660151,0.00000001053218695,0.00000001054258263,0.00000003181,0.00000015301
indochina-2004,0.0005,0.0005,0.001,5126.986021,4469.50475,14344.68298,6364.545825,3092.866013,0.00000006968677618,0.0000000181151913,0.00000001810769938,0.00000000506,0.00000021701
indochina-2004,0.005,0.005,0.01,6077.550787,6213.199655,95124.17922,9018.848735,4527.329716,0.0000001065374478,0.00000001894482237,0.00000001903451234,0.00000001571,0.00000014801
indochina-2004,0.05,0.05,0.1,15323.39409,15465.21937,821158.3812,20551.14076,9592.65132,0.00000003910147756,0.00000001864825026,0.00000001849847915,0.00000002611,0.00000029401
