graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
uk-2005,0.00000005,0.00000005,0.0000001,29169.5756,8121.33812,9685.080125,4345.881037,2948.836704,0.000000121,0.000000003714007676,0.000000003726869653,0.00000000149,0.00000002591
uk-2005,0.0000005,0.0000005,0.000001,28462.72763,12494.91787,13663.14263,8109.276391,4893.439363,0.000000121,0.000000006304058022,0.000000006304058022,0.00000001031,0.00000003301
uk-2005,0.000005,0.000005,0.00001,28578.57619,16793.4298,17700.29199,15816.21535,6996.378134,0.000000121,0.000000009139496562,0.000000009139496562,0.00000000335,0.00000009831
uk-2005,0.00005,0.00005,0.0001,27895.45355,18724.99043,19362.79402,23116.97071,12623.64249,0.000000121,0.00000002973331409,0.00000002973331409,0.00000002471,0.00000003101
uk-2005,0.0005,0.0005,0.001,27729.44491,21242.85414,22075.81554,29276.86887,16205.7653,0.000000126,0.00000007526458255,0.00000007526458255,0.00000009681,0.00000009371
uk-2005,0.005,0.005,0.01,29436.94376,28420.79893,30676.2968,39870.80355,21330.02452,0.000000168312297,0.00000004339526483,0.00000004339526483,0.00000001251,0.00000007531
uk-2005,0.05,0.05,0.1,72953.18364,64906.76749,80199.92742,86618.77095,47403.55085,0.00000006820340623,0.0000001447860181,0.0000001447860181,0.00000019901,0.00000035901
