graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
uk-2002,0.00000005,0.00000005,0.0000001,9079.101686,2551.46544,3310.563968,839.1456395,890.8347131,0.0000000313,0.000000002302145132,0.00000000230939603,0.0000000022,0.00000003791
uk-2002,0.0000005,0.0000005,0.000001,8781.791199,2911.554336,3293.022776,1515.147918,1081.992513,0.0000000313,0.000000007846650091,0.000000007852404364,0.00000001071,0.00000008171
uk-2002,0.000005,0.000005,0.00001,9037.616817,4613.026358,4871.673418,4205.266157,1928.065617,0.0000000313,0.000000007778172594,0.00000000775316222,0.00000001021,0.00000007411
uk-2002,0.00005,0.00005,0.0001,8910.615785,5493.599554,5736.377843,7153.872461,3237.19722,0.0000000314,0.00000001160125086,0.00000001160532004,0.00000000799,0.00000016401
uk-2002,0.0005,0.0005,0.001,9230.456512,6652.606526,6920.418847,9606.717788,4309.576819,0.0000000321666321,0.00000002172779749,0.00000002171979167,0.00000000905,0.00000012701
uk-2002,0.005,0.005,0.01,10526.21598,7708.793952,8199.882118,12010.22245,6244.452766,0.00000003236652954,0.0000001234406824,0.0000001234406824,0.00000011501,0.00000015601
uk-2002,0.05,0.05,0.1,24981.9402,20892.6324,23339.13174,28777.04981,15328.60917,0.0000000252,0.0000001417966076,0.000000141980689,0.00000010201,0.00000015201
