graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
it-2004,0.00000005,0.00000005,0.0000001,25900.07824,6596.843703,7873.2838,2616.885623,1948.321133,0.0000000689,0.000000004428327564,0.00000000425769586,0.0000000071,0.00000001471
it-2004,0.0000005,0.0000005,0.000001,25275.58196,12030.6137,13316.61257,8219.449458,3506.200917,0.0000000689,0.000000005032772984,0.000000005047473952,0.00000001031,0.00000004101
it-2004,0.000005,0.000005,0.00001,28335.97287,18657.62353,20312.0432,20065.54972,8686.312031,0.00000006906645771,0.000000005144305013,0.000000005188375166,0.00000002121,0.00000002581
it-2004,0.00005,0.00005,0.0001,24962.14037,18476.88055,19370.86319,23802.0975,11053.38122,0.00000006943331734,0.00000001273429876,0.00000001273429876,0.00000001361,0.00000004541
it-2004,0.0005,0.0005,0.001,25299.30059,20070.37667,22220.21887,28729.92245,13297.33245,0.00000007721964497,0.00000005844061102,0.00000005837253275,0.00000005841,0.00000025301
it-2004,0.005,0.005,0.01,26431.08758,25313.14522,40960.78182,37190.78428,17763.97393,0.0000001580436241,0.00000009164305491,0.00000009184030266,0.00000018301,0.00000032301
it-2004,0.05,0.05,0.1,77533.39286,76900.21752,202462.0017,96283.05015,45473.25909,0.00000005938138836,0.00000004739514451,0.00000004489818959,0.00000006621,0.00000056001
