graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
com-LiveJournal,0.00000005,0.00000005,0.0000001,5682.399672,1155.59683,2272.627257,1284.942431,701.9942834,0.00000156,0.000000003348670363,0.000000003461382304,0.000000000692,0.00000015901
com-LiveJournal,0.0000005,0.0000005,0.000001,6272.818445,3238.501609,3399.085976,3450.426774,1513.3234,0.00000156,0.000000001187331308,0.00000000118874724,0.000000000551,0.00000024501
com-LiveJournal,0.000005,0.000005,0.00001,6217.280069,4535.411928,4625.834539,4752.896625,1555.410934,0.00000156,0.00000001009321899,0.00000001009321899,0.00000000859,0.00000023901
com-LiveJournal,0.00005,0.00005,0.0001,5687.667291,4031.640635,4456.525331,5120.165857,1932.604519,0.00000156,0.00000009796794592,0.00000009796794592,0.00000009781,0.00000029001
com-LiveJournal,0.0005,0.0005,0.001,5369.155514,3795.792338,4419.564333,5170.476913,2507.049885,0.000001573326281,0.0000008883219249,0.0000008883219249,0.00000089301,0.00000125001
com-LiveJournal,0.005,0.005,0.01,6111.448458,4370.228561,6499.606917,5522.820064,3578.499282,0.0000017,0.000008259805665,0.000008263170149,0.00000830001,0.00000103001
com-LiveJournal,0.05,0.05,0.1,7662.164684,5390.939465,18119.81771,6951.145982,5481.610337,0.00000155,0.0000340662434,0.0000340662434,0.00003400001,0.00000087401
