graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
kmer_V1r,0.00000005,0.00000005,0.0000001,10529.5449,4130.097898,9962.752112,185.8846694,186.6950696,0.00139,0.00000001388803207,0.00000001388803207,0.00000001311,0.0000000084
kmer_V1r,0.0000005,0.0000005,0.000001,11048.91331,4385.811157,9158.442009,190.9632028,191.7561366,0.00139,0.0000001426377779,0.0000001426377779,0.00000014601,0.00000008851
kmer_V1r,0.000005,0.000005,0.00001,10831.6974,4268.54151,9075.990699,218.1868653,234.5117612,0.00139,0.000001433279188,0.000001433279188,0.00000143001,0.00000088301
kmer_V1r,0.00005,0.00005,0.0001,10695.55671,7248.230926,11986.28804,1310.559553,633.5807479,0.00139,0.000005796635951,0.000005796635951,0.00000581001,0.00000531001
kmer_V1r,0.0005,0.0005,0.001,10654.6894,7538.594452,11851.32964,4215.269499,2016.336347,0.00141,0.00005143417864,0.00005143417864,0.00004270001,0.00005140001
kmer_V1r,0.005,0.005,0.01,10665.96835,8226.156211,13291.64814,9449.845909,6203.627612,0.00154,0.000363,0.000363,0.00036300001,0.00026100001
kmer_V1r,0.05,0.05,0.1,12109.7595,10749.6929,18553.03839,15982.74615,10694.36215,0.0023,0.00141,0.00141,0.00141000001,0.00127000001
