graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
kmer_A2a,0.00000005,0.00000005,0.0000001,14962.42726,3612.5167,8493.951979,134.8395186,136.2131495,0.000285,0.00000001246198584,0.00000001239236436,0.00000001441,0.00000000897
kmer_A2a,0.0000005,0.0000005,0.000001,16638.79623,5467.869703,10160.95459,207.3507877,161.436827,0.000285,0.00000008156501768,0.00000008144109309,0.00000009511,0.00000008301
kmer_A2a,0.000005,0.000005,0.00001,16562.41234,5574.713826,9589.765579,326.6964502,301.475065,0.000285,0.0000008163839384,0.0000008168713319,0.00000098001,0.00000049901
kmer_A2a,0.00005,0.00005,0.0001,16945.46112,7967.856841,12258.54158,1469.072186,649.1219803,0.000285,0.000004266835185,0.000004266835185,0.00000740001,0.00000505001
kmer_A2a,0.0005,0.0005,0.001,16967.98523,9468.116176,13488.00035,4855.740575,1637.46416,0.000289,0.00002884997832,0.00002884997832,0.00003150001,0.00004930001
kmer_A2a,0.005,0.005,0.01,17413.31299,10425.04491,15002.4372,10838.87549,6150.655562,0.000325,0.00021,0.00021,0.00021000001,0.00015700001
kmer_A2a,0.05,0.05,0.1,18607.89963,11651.50061,18788.45557,17696.13236,11980.70661,0.000509,0.00100503791,0.00100503791,0.00110000001,0.00077900001
