graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
europe_osm,0.00000005,0.00000005,0.0000001,2774.47519,1233.869345,3247.401008,50.66188094,44.31578401,0.000432,0.000000003772986632,0.000000003772986632,0.00000000394,0.0000000038
europe_osm,0.0000005,0.0000005,0.000001,3000.74837,1785.298824,2139.064095,64.4630762,53.83102703,0.000432,0.00000002544027854,0.00000002559132193,0.00000001041,0.00000002571
europe_osm,0.000005,0.000005,0.00001,3014.837312,2965.805771,3221.424652,119.7252375,103.5583958,0.000432,0.00000006352242447,0.00000006348978379,0.00000006201,0.00000015901
europe_osm,0.00005,0.00005,0.0001,3086.314614,3196.346493,3443.074173,252.0743393,359.0977388,0.000433,0.000000551420739,0.0000005511396754,0.00000065001,0.00000157001
europe_osm,0.0005,0.0005,0.001,3143.194086,3337.978727,3648.647324,1262.433121,1383.627535,0.000439,0.000005003277691,0.000004999953253,0.00000496001,0.00000959001
europe_osm,0.005,0.005,0.01,3276.614875,3657.779778,4165.264622,4225.437192,2413.424778,0.000493,0.00003755041326,0.00003755041326,0.00004410001,0.00008320001
europe_osm,0.05,0.05,0.1,4128.427987,4835.242217,5920.543352,6774.269607,4281.127292,0.0007856665252,0.000197,0.000197,0.00019700001,0.00009300001
