graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
it-2004,0.00000002,0.00000008,0.0000001,26324.8504,6216.869092,8138.937389,2688.714176,1747.952463,0.0000000689,0.000000006632880685,0.000000006620856885,0.00000001611,0.00000002131
it-2004,0.0000002,0.0000008,0.000001,25534.44042,11633.26296,13489.33909,8662.050799,4364.653441,0.0000000689,0.000000007725517859,0.000000007774944255,0.00000000708,0.00000003991
it-2004,0.000002,0.000008,0.00001,24970.23679,14828.85123,16350.71156,16962.88016,7378.728415,0.000000069,0.00000001195867032,0.00000001192906953,0.00000001951,0.00000004881
it-2004,0.00002,0.00008,0.0001,24830.05951,18653.0386,19755.16349,25226.89914,11986.6725,0.00000006946665067,0.00000001415615418,0.00000001416269584,0.00000001911,0.00000003551
it-2004,0.0002,0.0008,0.001,25340.21009,21579.32784,23856.77545,31679.72777,14604.01693,0.00000007466647337,0.0000000276272887,0.00000002766135444,0.00000002701,0.00000034001
it-2004,0.002,0.008,0.01,28992.25341,28058.77695,44945.20918,40239.66283,20047.54272,0.0000001543910901,0.0000000773058583,0.00000007733648661,0.00000004551,0.00000024301
it-2004,0.02,0.08,0.1,108964.3882,103371.3518,238376.5688,136069.0847,67044.76426,0.0000000412129629,0.0000000298380675,0.0000000298380675,0.00000004181,0.00000065001
