graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
kmer_V1r,0.00000002,0.00000008,0.0000001,10030.43939,3596.331697,11110.7796,183.9119677,183.6120595,0.00139,0.0000000152351966,0.0000000152351966,0.00000001821,0.00000001281
kmer_V1r,0.0000002,0.0000008,0.000001,8635.496384,3336.905714,8226.232041,188.1223061,188.5803434,0.00139,0.0000001483122668,0.0000001483122668,0.00000015101,0.00000009051
kmer_V1r,0.000002,0.000008,0.00001,9209.878487,4011.119171,9081.715377,304.1820312,230.3196986,0.00139,0.000001207120855,0.000001207631914,0.00000149001,0.00000090401
kmer_V1r,0.00002,0.00008,0.0001,9243.124235,4942.819355,9922.350612,869.8837189,585.491847,0.00139,0.000008714849349,0.000008714849349,0.00000788001,0.00000545001
kmer_V1r,0.0002,0.0008,0.001,9628.322265,6090.839263,10454.34777,3722.274202,2185.688569,0.00141,0.00006268990474,0.00006268990474,0.00005670001,0.00005250001
kmer_V1r,0.002,0.008,0.01,9843.656983,7520.364581,12629.09486,9201.027514,5331.285166,0.00156,0.0003516663505,0.0003516663505,0.00035200001,0.00043000001
kmer_V1r,0.02,0.08,0.1,13131.26793,10537.22752,20093.18811,16110.46959,12792.1345,0.00242,0.00155,0.00155,0.00155000001,0.00110000001
