graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
webbase-2001,0.00000002,0.00000008,0.0000001,41428.5215,9488.835593,11340.55076,2070.861338,1378.483535,0.000000056,0.000000004154762115,0.000000004425371873,0.00000000166,0.00000000302
webbase-2001,0.0000002,0.0000008,0.000001,40289.86263,10501.04987,11050.64795,4519.70253,2767.928083,0.000000056,0.00000002444305196,0.00000002449689146,0.00000001521,0.00000001351
webbase-2001,0.000002,0.000008,0.00001,42132.01515,17770.40179,17411.52863,13244.08496,5945.537684,0.000000056,0.0000000226691489,0.00000002266730348,0.00000000748,0.00000003791
webbase-2001,0.00002,0.00008,0.0001,41843.22194,21209.38238,21014.2829,24447.53579,11641.39038,0.0000000562,0.00000005936695551,0.00000005936695551,0.00000003771,0.00000010501
webbase-2001,0.0002,0.0008,0.001,41274.13627,27448.64744,27668.94887,38262.48669,16437.0358,0.0000000578,0.0000000586831429,0.00000005870410117,0.00000003611,0.00000017801
webbase-2001,0.002,0.008,0.01,45226.3082,31026.02406,32917.46221,47047.01377,22638.51927,0.0000000602,0.0000003392077169,0.0000003392077169,0.00000035801,0.00000024901
webbase-2001,0.02,0.08,0.1,117116.0222,98187.669,107970.4338,134317.4052,65698.08288,0.0000000552331926,0.0000001733509864,0.0000001734778906,0.00000010701,0.00000016301
