graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
indochina-2004,0.00000002,0.00000008,0.0000001,7017.422107,2068.569095,2853.978116,433.0354669,959.8400773,0.0000000676,0.000000002938369219,0.00000000300511627,0.0000000041,0.00000008011
indochina-2004,0.0000002,0.0000008,0.000001,6993.013521,2973.85333,3361.124499,1691.136682,1492.176722,0.0000000676,0.000000004829414518,0.00000000481375896,0.00000000748,0.00000011701
indochina-2004,0.000002,0.000008,0.00001,6483.790075,4491.405663,4746.143713,3878.678825,2096.224435,0.00000006766665024,0.000000003498421002,0.000000003505790035,0.00000000189,0.00000013701
indochina-2004,0.00002,0.00008,0.0001,5992.36023,4843.267951,6001.760615,6119.769866,2837.584229,0.00000007733117492,0.00000001082981985,0.00000001084274328,0.00000000223,0.00000016501
indochina-2004,0.0002,0.0008,0.001,5933.599326,5033.108303,14223.3004,7264.762517,3454.567825,0.00000007265370128,0.00000002421347063,0.00000002412503496,0.00000002881,0.00000020601
indochina-2004,0.002,0.008,0.01,7037.396842,7134.394745,101540.0756,9570.594859,4483.864336,0.00000008980710353,0.00000002128334345,0.00000002115423854,0.00000003271,0.00000019501
indochina-2004,0.02,0.08,0.1,20635.24716,18973.2112,975394.0422,21808.67002,11208.8742,0.00000002307243954,0.00000001959846059,0.00000002030833731,0.00000002781,0.00000022501
