graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
sk-2005,0.00000005,0.00000005,0.0000001,44737.60936,12475.07285,14602.09828,6833.488673,4145.700459,0.0000000326,0.000000003741509681,0.000000003720340856,0.00000002231,0.00000001811
sk-2005,0.0000005,0.0000005,0.000001,46038.12131,18266.32043,19857.08009,16616.27453,8047.863938,0.0000000326,0.00000000818356931,0.000000008183393439,0.00000000761,0.00000002301
sk-2005,0.000005,0.000005,0.00001,45338.32111,24393.35358,26026.87799,27828.19192,11486.30518,0.0000000326,0.00000001231136588,0.00000001232131848,0.00000001691,0.00000006911
sk-2005,0.00005,0.00005,0.0001,44512.81067,32566.42567,34262.07545,40390.22127,17073.461,0.0000000327,0.000000009878803747,0.000000009848758808,0.00000000976,0.00000009491
sk-2005,0.0005,0.0005,0.001,45138.05878,43445.48832,51052.73423,54935.64753,23840.25893,0.00000003403310501,0.000000005774488266,0.000000005761980816,0.00000000456,0.00000004271
sk-2005,0.005,0.005,0.01,49970.54548,50095.48085,128120.8945,67737.2997,32231.16434,0.00000003903015529,0.00000002252245331,0.00000002249059689,0.00000002071,0.00000011001
sk-2005,0.05,0.05,0.1,137660.5451,136519.1768,921017.469,162633.7261,86633.04006,0.00000002802170086,0.00000002032224341,0.00000002034541588,0.00000002041,0.00000007291
