graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
com-Orkut,0.00000002,0.00000008,0.0000001,9576.718126,660.2103009,2363.813496,907.9567927,935.020072,0.00000372,0.00000004195546299,0.00000004273048079,0.00000003101,0.00000019001
com-Orkut,0.0000002,0.0000008,0.000001,11584.58257,1388.565206,1816.393465,1987.389619,1674.736112,0.00000372,0.000000257454127,0.0000002547825905,0.00000025101,0.00000038401
com-Orkut,0.000002,0.000008,0.00001,10625.0798,8811.917895,9275.447925,11948.18482,2635.447092,0.00000373,0.000000001707566732,0.000000001707566732,0.00000000157,0.00000126001
com-Orkut,0.00002,0.00008,0.0001,11921.32104,9924.343704,10901.05353,14029.60459,5459.120722,0.000003753330375,0.00000001535092604,0.0000000153238042,0.00000001651,0.00000133001
com-Orkut,0.0002,0.0008,0.001,12257.71892,10144.43194,18522.48901,14645.24821,8820.669765,0.00000403,0.0000001332408247,0.0000001326032991,0.00000013201,0.00000099301
com-Orkut,0.002,0.008,0.01,12516.17155,10031.08917,90319.90618,15417.95072,11522.10284,0.00000398,0.000000750986258,0.0000007516426456,0.00000074901,0.00000093201
com-Orkut,0.02,0.08,0.1,13519.40665,11798.64878,513400.1564,18841.36677,15097.86452,0.00000279,0.0000001868929201,0.0000001909025937,0.00000018601,0.00000150001
