graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
com-LiveJournal,0.00000002,0.00000008,0.0000001,6630.715063,955.8282354,1507.024314,1011.322626,880.8360511,0.00000156,0.00000001286451035,0.00000001364545507,0.00000000694,0.00000019801
com-LiveJournal,0.0000002,0.0000008,0.000001,6265.221154,4084.148019,4774.647138,4881.005562,1513.140355,0.00000156,0.0000000005631308163,0.0000000005617940022,0.0000000006,0.00000023901
com-LiveJournal,0.000002,0.000008,0.00001,6048.204849,4214.049123,4516.181748,4920.912194,1678.240324,0.00000156,0.000000004098916073,0.000000004098916073,0.00000000567,0.00000027301
com-LiveJournal,0.00002,0.00008,0.0001,5685.537812,4196.526462,4361.087517,5201.707361,1985.007846,0.00000156,0.0000000373490551,0.0000000373490551,0.00000004191,0.00000046901
com-LiveJournal,0.0002,0.0008,0.001,5475.773408,3937.317113,4495.63859,5465.066388,2856.44256,0.000001586659654,0.0000003646571924,0.0000003649890007,0.00000036701,0.00000054901
com-LiveJournal,0.002,0.008,0.01,7220.790052,5136.557942,6772.692946,6544.892433,4635.213822,0.00000149,0.000003169926591,0.000003169926591,0.00000320001,0.00000055601
com-LiveJournal,0.02,0.08,0.1,8451.293005,6103.50127,16805.33152,8257.235055,6775.52202,0.00000156,0.000008406661383,0.000008406661383,0.00000840001,0.00000137001
