graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
uk-2002,0.00000002,0.00000008,0.0000001,9075.489981,2013.933323,4806.216921,649.432232,747.4045332,0.0000000313,0.000000004037233999,0.000000004036010668,0.00000000957,0.00000004041
uk-2002,0.0000002,0.0000008,0.000001,8591.571728,3309.489012,3555.252264,1933.545226,1266.244925,0.0000000313,0.000000005333876282,0.000000005328311767,0.00000000397,0.00000008531
uk-2002,0.000002,0.000008,0.00001,8919.273492,5918.002633,6136.118704,5524.252076,2174.062696,0.0000000313332979,0.000000001782369441,0.000000001786792212,0.00000000296,0.00000006281
uk-2002,0.00002,0.00008,0.0001,8486.631763,4977.785132,5204.078152,6721.625528,3205.160128,0.0000000315,0.00000002214858445,0.00000002213061419,0.00000003691,0.00000012401
uk-2002,0.0002,0.0008,0.001,8684.1737,5750.305375,5995.050051,8627.013207,4265.233956,0.00000003276663273,0.00000006290006142,0.00000006283220656,0.00000005401,0.00000019401
uk-2002,0.002,0.008,0.01,10644.50044,7910.822837,8393.235343,11773.50021,6191.980585,0.00000004284240727,0.0000001610512034,0.0000001610512034,0.00000018201,0.00000015801
uk-2002,0.02,0.08,0.1,31339.04455,27596.90553,30283.57515,36921.09558,19351.61461,0.00000006364554212,0.0000001009113754,0.000000100865776,0.00000007381,0.00000014601
