graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
kmer_A2a,0.00000002,0.00000008,0.0000001,17112.27735,4166.189172,10092.17308,152.2111986,152.3821078,0.000285,0.00000001339016134,0.00000001339016134,0.00000001391,0.00000000809
kmer_A2a,0.0000002,0.0000008,0.000001,16202.48724,4228.662199,8130.34807,165.3920201,159.8326811,0.000285,0.0000001273942735,0.0000001273942735,0.00000010401,0.00000008841
kmer_A2a,0.000002,0.000008,0.00001,16001.64291,4828.57276,8884.145567,277.8189917,310.9498312,0.000285,0.000001023322499,0.000001023322499,0.00000103001,0.00000052101
kmer_A2a,0.00002,0.00008,0.0001,15140.43584,5963.839834,10104.36964,1064.408512,656.751621,0.000285,0.000006182503568,0.000006182503568,0.00000752001,0.00000519001
kmer_A2a,0.0002,0.0008,0.001,16026.81767,7969.550889,12263.15393,4141.432282,1908.437992,0.00029,0.00003725075091,0.00003725075091,0.00003090001,0.00003050001
kmer_A2a,0.002,0.008,0.01,16424.63784,9844.060834,14241.70777,10915.19461,5847.802097,0.0003296663294,0.000197,0.000197,0.00019700001,0.00025500001
kmer_A2a,0.02,0.08,0.1,20985.87549,13355.1654,21799.61841,20262.90339,13635.64732,0.000538,0.0007876161472,0.0007876161472,0.00086900001,0.00067400001
