graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
uk-2005,0.00000002,0.00000008,0.0000001,28896.40634,8474.1179,10970.0319,4192.854672,2892.619944,0.000000121,0.000000005075844246,0.000000005062591329,0.00000001291,0.00000004211
uk-2005,0.0000002,0.0000008,0.000001,27715.31767,11956.97264,12570.1681,8531.719621,4528.650263,0.000000121,0.000000007558659538,0.000000007558659538,0.00000000501,0.00000007171
uk-2005,0.000002,0.000008,0.00001,27685.54033,14092.25967,14792.80217,14067.9678,7522.282715,0.000000121,0.00000002759554644,0.00000002759554644,0.00000002011,0.00000008011
uk-2005,0.00002,0.00008,0.0001,27600.64955,17477.6586,18209.82416,22137.9789,12071.58295,0.000000121,0.00000005461729517,0.00000005467156663,0.00000003621,0.00000007581
uk-2005,0.0002,0.0008,0.001,28195.18137,23846.10212,24603.15577,32483.49981,16672.93449,0.0000001080091442,0.00000002428132465,0.00000002428132465,0.00000000404,0.00000012501
uk-2005,0.002,0.008,0.01,32579.82335,30642.32834,33022.29466,41666.87993,22055.79739,0.0000001160684297,0.00000004349172415,0.00000004349172415,0.00000003931,0.00000007951
uk-2005,0.02,0.08,0.1,94359.95044,88113.9446,105500.8982,119172.5366,66938.07611,0.00000007229148809,0.00000005019576585,0.00000005019576585,0.00000010701,0.00000020201
