graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,sta-t,nai-t,tra-t,fro-t,frop-t,sta-e,nai-e,tra-e,fro-e,frop-e
asia_osm,0.00000002,0.00000008,0.0000001,1157.362421,430.7857161,1344.923289,10.13289279,8.46301811,0.000195,0.000000002596935492,0.000000002599596288,0.00000000273,0.00000000226
asia_osm,0.0000002,0.0000008,0.000001,1279.045973,810.1532342,1167.267408,13.74954268,12.88698886,0.000195,0.000000009247080647,0.000000009300104057,0.00000001191,0.00000000742
asia_osm,0.000002,0.000008,0.00001,1282.445491,1506.199088,1577.402419,26.08350274,68.71153971,0.000195,0.000000007622833282,0.000000007664809111,0.00000000707,0.00000006161
asia_osm,0.00002,0.00008,0.0001,1212.640447,1448.346497,1523.747719,187.4298028,251.2747576,0.000195,0.00000006109079108,0.00000006119117484,0.00000005901,0.00000062401
asia_osm,0.0002,0.0008,0.001,1225.895052,1532.295797,1599.751661,777.0114719,530.3570799,0.0002,0.0000004369931349,0.0000004373262091,0.00000043401,0.00000367001
asia_osm,0.002,0.008,0.01,1226.806314,1527.074752,1658.796847,1612.409139,733.0724495,0.000241,0.000003673312178,0.000003673312178,0.00000367001,0.00001890001
asia_osm,0.02,0.08,0.1,1608.278187,2143.837186,2436.475491,2712.831788,1311.928671,0.0003882280539,0.0000160000625,0.0000160000625,0.00001480001,0.00005630001
